_id,Spec_No,S_W_No,Date,Common Name ,Scientific Name ,County,Latitude,Longitude,Location,Grid ref,Mass_Single,Sex,Length Approx,Length Imp,Length et,Condition,in Collections,year,sequ,lett,Entered,Updated,Count,MCS,BMNH,Rect_CoNAord_,Other refs,age,Old County,GRef Source,By Catch,Rep_Source,JBaker,CBRU,Other,Comb_other_ref,Year_val,Month_val,Day_val,Aggregated_Date,Fam_Genus,species,Country Code,Comment
5312,53,1913/1,13/02/1913,Cuvier's Beaked whale,Ziphius cavirostris,"Cork, EIRE",51.4995,-9.1175,Unionhall (Tralong beach),W224280,S,F,No,26'0'',7.92,dead,"skull, skeleton",1913,1,NA,02-Nov-90,23-Dec-08,566,ZK0120,ZK0120,NA,NA,NA,S.Ireland,*BMNH LEJ,NA,NA,NA,NA,NA,NA,1913,2,13,19130213,Ziphius,cavirostris,5,a)Cuvier's Beaked Whale b)E=-1014900m N=6685600m
5313,54,1913/2,06/03/1913,Long-finned pilot whale,Globicephala melas,Hampshire,50.72227152,-1.744973366,Christchurch,SZ18009150,S,NA,No,18'0'',5.49,NA,NA,1913,2,NA,02-Nov-90,23-Dec-08,1123,ZK0079,ZK0079,41800009150,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,3,6,19130306,Globicephala,melaena,1,Long-finned Pilot Whale
5314,55,1913/3,06/03/1913,White-sided dolphin,Lagenorhynchus acutus,"Fair Isle, Shetland Isles",60.44977781,-1.605549405,NA ,HU21707400,S,NA,No,6'6'',1.98,NA,NA,1913,3,NA,02-Nov-90,23-Dec-08,1,ZK0058,ZK0058,42170117400,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,3,6,19130306,Lagenorhynchus,acutus,2,White-sided Dolphin
5315,56,1913/4,21/04/1913,NA,NA,"Kerry, EIRE",52.1049,-9.8976,Cromane,V700965,S,NA,NA,NA,NA,decayed,NA,1913,4,NA,02-Nov-90,23-Dec-08,2882,ZK0039,ZK0149,NA,NA,NA,S.Ireland,*BMNH LEJ,NA,NA,NA,NA,NA,NA,1913,4,21,19130421,cetacean,sp.indet.,5,a)Unidentified Cetaceans b)E=-1101700m N=6785400
5316,57,1913/5,06/05/1913,NA,NA,Lincolnshire,53.34364192,0.268462387,Mablethorpe,TF51008540,S,NA,No,14'0'',4.27,decayed,NA,1913,5,NA,02-Nov-90,23-Dec-08,2883,ZK0039,ZK0149,55100038540,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,5,6,19130506,cetacean,sp.indet.,1,Unidentified Cetaceans
5317,58,1913/6,08/07/1913,Fin whale,Balaenoptera physalus,"Caithness, Scotland",58.67203558,-3.374386965,Dunnet Head,ND20307680,S,NA,No,69'0'',21.03,dead,NA,1913,6,NA,02-Nov-90,23-Dec-08,2609,ZK0135,ZK0135,32030097680,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,7,8,19130708,Balaenoptera,physalus,2,Fin Whale
5318,59,1913/7,25/07/1913,NA,NA,"Ross & Cromarty, Scotland",57.59815056,-3.762044958,Tarbat Ness,NH94705780,S,NA,Yes,20'-30',6.1-9.14,decayed,NA,1913,7,NA,02-Nov-90,23-Dec-08,2884,ZK0039,ZK0149,29470085780,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,7,25,19130725,cetacean,sp.indet.,2,Unidentified Cetaceans
5319,60,1913/8,01/08/1913,Harbour porpoise,Phocoena phocoena,Yorkshire,54.62191569,-1.078397772,Coatham,NZ59502560,M,NA,NA,NA,NA,NA,NA,1913,8,NA,02-Nov-90,27-Apr-09,1809,ZK0085?,ZK0085?,45950052560,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,8,1,19130801,Phocoena,phocoena?,1,a)1st info 1913/8-12 b)Common Porpoise
5320,61,1913/8,01/08/1913,Harbour porpoise,Phocoena phocoena,Yorkshire,54.62191569,-1.078397772,Coatham,NZ59502560,M,NA,NA,NA,NA,NA,NA,1913,8,NA,02-Nov-90,27-Apr-09,4110,ZK0085?,ZK0085?,45950052560,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,8,1,19130801,Phocoena,phocoena?,1,a)1st info 1913/9 (of 1913/8-12) b)Common Porpoise
5321,62,1913/8,01/08/1913,Harbour porpoise,Phocoena phocoena,Yorkshire,54.62191569,-1.078397772,Coatham,NZ59502560,M,NA,NA,NA,NA,NA,NA,1913,8,NA,02-Nov-90,27-Apr-09,4111,ZK0085?,ZK0085?,45950052560,NA,NA,NA,BMNH DKP,NA,NA,NA,NA,NA,NA,1913,8,1,19130801,Phocoena,phocoena?,1,a)1st info 1913/10 (of 1913/8-12) b)Common Porpoise
