areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2023-12-13,583,21024823,294,19384397,289,1640426
nation,England,E92000001,2023-12-12,1040,21024240,600,19384103,440,1640137
nation,England,E92000001,2023-12-11,1183,21023200,703,19383503,480,1639697
nation,England,E92000001,2023-12-10,947,21022017,538,19382800,409,1639217
nation,England,E92000001,2023-12-09,771,21021070,480,19382262,291,1638808
nation,England,E92000001,2023-12-08,882,21020299,532,19381782,350,1638517
nation,England,E92000001,2023-12-07,807,21019417,480,19381250,327,1638167
nation,England,E92000001,2023-12-06,945,21018610,564,19380770,381,1637840
nation,England,E92000001,2023-12-05,933,21017665,571,19380206,362,1637459
nation,England,E92000001,2023-12-04,950,21016732,544,19379635,406,1637097
nation,England,E92000001,2023-12-03,687,21015782,378,19379091,309,1636691
nation,England,E92000001,2023-12-02,519,21015095,325,19378713,194,1636382
nation,England,E92000001,2023-12-01,538,21014576,354,19378388,184,1636188
nation,England,E92000001,2023-11-30,655,21014038,393,19378034,262,1636004
nation,England,E92000001,2023-11-29,727,21013383,443,19377641,284,1635742
nation,England,E92000001,2023-11-28,682,21012656,399,19377198,283,1635458
nation,England,E92000001,2023-11-27,685,21011974,403,19376799,282,1635175
nation,England,E92000001,2023-11-26,506,21011289,307,19376396,199,1634893
nation,England,E92000001,2023-11-25,424,21010783,264,19376089,160,1634694
nation,England,E92000001,2023-11-24,545,21010359,328,19375825,217,1634534
nation,England,E92000001,2023-11-23,562,21009814,332,19375497,230,1634317
nation,England,E92000001,2023-11-22,612,21009252,365,19375165,247,1634087
nation,England,E92000001,2023-11-21,590,21008640,361,19374800,229,1633840
nation,England,E92000001,2023-11-20,695,21008050,394,19374439,301,1633611
nation,England,E92000001,2023-11-19,547,21007355,329,19374045,218,1633310
nation,England,E92000001,2023-11-18,449,21006808,270,19373716,179,1633092
nation,England,E92000001,2023-11-17,510,21006359,316,19373446,194,1632913
nation,England,E92000001,2023-11-16,662,21005849,403,19373130,259,1632719
nation,England,E92000001,2023-11-15,629,21005187,366,19372727,263,1632460
nation,England,E92000001,2023-11-14,760,21004558,460,19372361,300,1632197
nation,England,E92000001,2023-11-13,739,21003798,453,19371901,286,1631897
nation,England,E92000001,2023-11-12,593,21003059,352,19371448,241,1631611
nation,England,E92000001,2023-11-11,291,21002466,207,19371096,84,1631370
nation,England,E92000001,2023-11-10,275,21002175,211,19370889,64,1631286
nation,England,E92000001,2023-11-09,493,21001900,303,19370678,190,1631222
nation,England,E92000001,2023-11-08,693,21001407,425,19370375,268,1631032
nation,England,E92000001,2023-11-07,817,21000714,503,19369950,314,1630764
nation,England,E92000001,2023-11-06,780,20999897,471,19369447,309,1630450
nation,England,E92000001,2023-11-05,683,20999117,396,19368976,287,1630141
nation,England,E92000001,2023-11-04,592,20998434,376,19368580,216,1629854
nation,England,E92000001,2023-11-03,734,20997842,471,19368204,263,1629638
nation,England,E92000001,2023-11-02,809,20997108,507,19367733,302,1629375
nation,England,E92000001,2023-11-01,865,20996299,531,19367226,334,1629073
nation,England,E92000001,2023-10-31,954,20995434,586,19366695,368,1628739
nation,England,E92000001,2023-10-30,1011,20994480,596,19366109,415,1628371
nation,England,E92000001,2023-10-29,847,20993469,526,19365513,321,1627956
nation,England,E92000001,2023-10-28,737,20992622,470,19364987,267,1627635
nation,England,E92000001,2023-10-27,932,20991885,595,19364517,337,1627368
nation,England,E92000001,2023-10-26,1013,20990953,663,19363922,350,1627031
nation,England,E92000001,2023-10-25,1021,20989940,639,19363259,382,1626681
nation,England,E92000001,2023-10-24,1151,20988919,698,19362620,453,1626299
nation,England,E92000001,2023-10-23,1175,20987768,742,19361922,433,1625846
nation,England,E92000001,2023-10-22,988,20986593,621,19361180,367,1625413
nation,England,E92000001,2023-10-21,868,20985605,551,19360559,317,1625046
nation,England,E92000001,2023-10-20,1145,20984737,714,19360008,431,1624729
nation,England,E92000001,2023-10-19,1320,20983592,795,19359294,525,1624298
nation,England,E92000001,2023-10-18,1395,20982272,851,19358499,544,1623773
nation,England,E92000001,2023-10-17,1411,20980877,838,19357648,573,1623229
nation,England,E92000001,2023-10-16,1445,20979466,869,19356810,576,1622656
nation,England,E92000001,2023-10-15,1219,20978021,689,19355941,530,1622080
nation,England,E92000001,2023-10-14,1120,20976802,670,19355252,450,1621550
nation,England,E92000001,2023-10-13,1467,20975682,892,19354582,575,1621100
nation,England,E92000001,2023-10-12,1543,20974215,898,19353690,645,1620525
nation,England,E92000001,2023-10-11,1894,20972672,1072,19352792,822,1619880
nation,England,E92000001,2023-10-10,2027,20970778,1190,19351720,837,1619058
nation,England,E92000001,2023-10-09,2234,20968751,1290,19350530,944,1618221
nation,England,E92000001,2023-10-08,2068,20966517,1179,19349240,889,1617277
nation,England,E92000001,2023-10-07,1666,20964449,973,19348061,693,1616388
nation,England,E92000001,2023-10-06,2116,20962783,1281,19347088,835,1615695
nation,England,E92000001,2023-10-05,2254,20960667,1286,19345807,968,1614860
nation,England,E92000001,2023-10-04,2447,20958413,1352,19344521,1095,1613892
nation,England,E92000001,2023-10-03,2658,20955966,1424,19343169,1234,1612797
nation,England,E92000001,2023-10-02,2645,20953308,1445,19341745,1200,1611563
nation,England,E92000001,2023-10-01,2360,20950663,1223,19340300,1137,1610363
nation,England,E92000001,2023-09-30,1928,20948303,1029,19339077,899,1609226
nation,England,E92000001,2023-09-29,2125,20946375,1260,19338048,865,1608327
nation,England,E92000001,2023-09-28,2318,20944250,1284,19336788,1034,1607462
nation,England,E92000001,2023-09-27,2667,20941932,1461,19335504,1206,1606428
nation,England,E92000001,2023-09-26,2698,20939265,1441,19334043,1257,1605222
nation,England,E92000001,2023-09-25,2561,20936567,1382,19332602,1179,1603965
nation,England,E92000001,2023-09-24,2007,20934006,1035,19331220,972,1602786
nation,England,E92000001,2023-09-23,1555,20931999,857,19330185,698,1601814
nation,England,E92000001,2023-09-22,1680,20930444,950,19329328,730,1601116
nation,England,E92000001,2023-09-21,1825,20928764,992,19328378,833,1600386
nation,England,E92000001,2023-09-20,1893,20926939,1030,19327386,863,1599553
nation,England,E92000001,2023-09-19,1950,20925046,1045,19326356,905,1598690
nation,England,E92000001,2023-09-18,1929,20923096,1049,19325311,880,1597785
nation,England,E92000001,2023-09-17,1605,20921167,827,19324262,778,1596905
nation,England,E92000001,2023-09-16,1318,20919562,731,19323435,587,1596127
nation,England,E92000001,2023-09-15,1341,20918244,788,19322704,553,1595540
nation,England,E92000001,2023-09-14,1532,20916903,832,19321916,700,1594987
nation,England,E92000001,2023-09-13,1522,20915371,877,19321084,645,1594287
nation,England,E92000001,2023-09-12,1675,20913849,994,19320207,681,1593642
nation,England,E92000001,2023-09-11,1824,20912174,1078,19319213,746,1592961
nation,England,E92000001,2023-09-10,1580,20910350,881,19318135,699,1592215
nation,England,E92000001,2023-09-09,1334,20908770,796,19317254,538,1591516
nation,England,E92000001,2023-09-08,1548,20907436,957,19316458,591,1590978
nation,England,E92000001,2023-09-07,1708,20905888,941,19315501,767,1590387
nation,England,E92000001,2023-09-06,1860,20904180,1060,19314560,800,1589620
nation,England,E92000001,2023-09-05,1891,20902320,1067,19313500,824,1588820
nation,England,E92000001,2023-09-04,1969,20900429,1153,19312433,816,1587996
nation,England,E92000001,2023-09-03,1637,20898460,883,19311280,754,1587180
nation,England,E92000001,2023-09-02,1327,20896823,752,19310397,575,1586426
nation,England,E92000001,2023-09-01,1512,20895496,860,19309645,652,1585851
nation,England,E92000001,2023-08-31,1446,20893984,811,19308785,635,1585199
nation,England,E92000001,2023-08-30,1488,20892538,813,19307974,675,1584564
nation,England,E92000001,2023-08-29,1368,20891050,794,19307161,574,1583889
nation,England,E92000001,2023-08-28,1089,20889682,616,19306367,473,1583315
nation,England,E92000001,2023-08-27,901,20888593,532,19305751,369,1582842
nation,England,E92000001,2023-08-26,856,20887692,495,19305219,361,1582473
nation,England,E92000001,2023-08-25,988,20886836,603,19304724,385,1582112
