step,epoch,val_loss,train_loss
99,0,14.429082870483398,
99,0,,11.780065536499023
199,1,14.563919067382812,
199,1,,11.655755996704102
299,2,14.351095199584961,
299,2,,11.467238426208496
399,3,13.073232650756836,
399,3,,11.335868835449219
499,4,13.72238826751709,
499,4,,11.337867736816406
599,5,14.366189956665039,
599,5,,11.311413764953613
699,6,14.269145965576172,
699,6,,11.328508377075195
799,7,14.705906867980957,
799,7,,11.283785820007324
899,8,14.732890129089355,
899,8,,11.274030685424805
