val_loss,step,epoch,train_loss
15.610148429870605,99,0,
,99,0,11.826817512512207
15.367466926574707,199,1,
,199,1,11.436749458312988
15.340009689331055,299,2,
,299,2,11.427112579345703
14.932143211364746,399,3,
,399,3,11.298727989196777
15.823094367980957,499,4,
,499,4,11.338371276855469
15.207112312316895,599,5,
,599,5,11.258051872253418
15.416523933410645,699,6,
,699,6,11.327707290649414
15.696202278137207,799,7,
,799,7,11.285571098327637
14.697893142700195,899,8,
,899,8,11.246272087097168
15.110743522644043,999,9,
,999,9,11.294205665588379
14.375896453857422,1099,10,
,1099,10,11.289572715759277
15.135714530944824,1199,11,
,1199,11,11.286381721496582
15.44050121307373,1299,12,
,1299,12,11.274561882019043
15.126901626586914,1399,13,
,1399,13,11.229473114013672
14.568254470825195,1499,14,
,1499,14,11.266585350036621
14.321255683898926,1599,15,
,1599,15,11.26231575012207
13.152403831481934,1699,16,
,1699,16,11.310786247253418
13.613065719604492,1799,17,
,1799,17,11.275613784790039
12.963447570800781,1899,18,
,1899,18,11.31628704071045
13.643963813781738,1999,19,
,1999,19,11.271258354187012
13.845653533935547,2099,20,
,2099,20,11.261977195739746
14.27243423461914,2199,21,
,2199,21,11.265616416931152
13.704732894897461,2299,22,
,2299,22,11.27754020690918
12.893485069274902,2399,23,
,2399,23,11.29468059539795
12.618731498718262,2499,24,
,2499,24,11.289568901062012
12.778183937072754,2599,25,
,2599,25,11.306889533996582
13.641702651977539,2699,26,
,2699,26,11.269750595092773
12.78403377532959,2799,27,
,2799,27,11.296857833862305
12.7765474319458,2899,28,
,2899,28,11.291945457458496
13.263761520385742,2999,29,
,2999,29,11.361985206604004
