epoch,step,val_loss,train_loss
0,99,12.239952087402344,
0,99,,12.290905952453613
1,199,12.23995304107666,
1,199,,11.45034408569336
2,299,11.59579086303711,
2,299,,11.279918670654297
3,399,11.85483455657959,
3,399,,11.269107818603516
4,499,11.675933837890625,
4,499,,11.207797050476074
5,599,11.70838737487793,
5,599,,11.16611099243164
6,699,11.63491439819336,
6,699,,11.155006408691406
7,799,11.706185340881348,
7,799,,11.15570068359375
8,899,11.607624053955078,
8,899,,11.123666763305664
9,999,11.57841682434082,
9,999,,11.12701416015625
10,1099,11.585244178771973,
10,1099,,11.063185691833496
11,1199,11.521608352661133,
11,1199,,11.068428993225098
12,1299,11.624701499938965,
12,1299,,11.01298713684082
13,1399,11.568195343017578,
13,1399,,11.084694862365723
14,1499,11.688986778259277,
14,1499,,11.018031120300293
15,1599,11.679064750671387,
15,1599,,11.055039405822754
16,1699,11.435158729553223,
16,1699,,11.009254455566406
17,1799,11.521810531616211,
17,1799,,10.949869155883789
18,1899,11.609014511108398,
18,1899,,10.949634552001953
19,1999,11.43693733215332,
19,1999,,10.916009902954102
20,2099,11.437355041503906,
20,2099,,10.919100761413574
21,2199,11.311192512512207,
21,2199,,10.900162696838379
22,2299,11.437277793884277,
22,2299,,10.881256103515625
23,2399,11.459877014160156,
23,2399,,10.8804349899292
24,2499,11.45826244354248,
24,2499,,10.867297172546387
25,2599,11.44919204711914,
25,2599,,10.839761734008789
26,2699,11.350898742675781,
26,2699,,10.846107482910156
27,2799,11.36887264251709,
27,2799,,10.84415054321289
28,2899,11.332535743713379,
28,2899,,10.841054916381836
29,2999,11.516042709350586,
29,2999,,10.803691864013672
30,3099,11.348700523376465,
30,3099,,10.852121353149414
31,3199,11.382678985595703,
31,3199,,10.870733261108398
0,99,,12.760900497436523
1,199,,12.072779655456543
2,299,,11.899194717407227
3,399,,11.919978141784668
4,499,,11.865748405456543
5,599,,11.844656944274902
6,699,,11.741106033325195
7,799,,11.735467910766602
8,899,,11.666548728942871
9,999,,11.645347595214844
10,1099,,11.667226791381836
11,1199,,11.635712623596191
12,1299,,11.633502006530762
13,1399,,11.57247543334961
14,1499,,11.616482734680176
15,1599,,11.572015762329102
16,1699,,11.618189811706543
17,1799,,11.581124305725098
18,1899,,11.54676628112793
19,1999,,11.527870178222656
20,2099,,11.507701873779297
21,2199,,11.519522666931152
22,2299,,11.510110855102539
23,2399,,11.488991737365723
24,2499,,11.493687629699707
25,2599,,11.433948516845703
26,2699,,11.492406845092773
27,2799,,11.46095085144043
28,2899,,11.465997695922852
29,2999,,11.43589973449707
30,3099,,11.460482597351074
31,3199,,11.43968391418457
32,3299,,11.464944839477539
33,3399,,11.419166564941406
34,3499,,11.432760238647461
35,3599,,11.401288032531738
36,3699,,11.441370010375977
37,3799,,11.412579536437988
38,3899,,11.421429634094238
39,3999,,11.39159870147705
40,4099,,11.395079612731934
41,4199,,11.358977317810059
42,4299,,11.432683944702148
43,4399,,11.360060691833496
44,4499,,11.348240852355957
45,4599,,11.450708389282227
46,4699,,11.398872375488281
47,4799,,11.371726036071777
48,4899,,11.370903015136719
49,4999,,11.401908874511719
