epoch,step,val_loss,train_loss
0,99,13.446036338806152,
0,99,,11.869195938110352
1,199,13.097151756286621,
1,199,,11.722204208374023
2,299,14.097536087036133,
2,299,,11.660125732421875
3,399,14.581337928771973,
3,399,,11.631424903869629
4,499,13.273418426513672,
4,499,,11.414645195007324
5,599,13.064600944519043,
5,599,,11.320966720581055
6,699,11.879785537719727,
6,699,,11.339637756347656
7,799,12.154765129089355,
7,799,,11.334860801696777
8,899,12.523406028747559,
8,899,,11.310388565063477
9,999,11.985973358154297,
9,999,,11.352408409118652
10,1099,12.151400566101074,
10,1099,,11.304926872253418
11,1199,11.86506175994873,
11,1199,,11.358304023742676
12,1299,11.884218215942383,
12,1299,,11.32935905456543
13,1399,12.116828918457031,
13,1399,,11.296372413635254
14,1499,11.909810066223145,
14,1499,,11.294594764709473
15,1599,12.050180435180664,
15,1599,,11.340710639953613
16,1699,12.01269817352295,
16,1699,,11.326294898986816
