step,val_loss,epoch,train_loss
99,13.446036338806152,0,
99,,0,11.869195938110352
199,13.097151756286621,1,
199,,1,11.722204208374023
299,13.841590881347656,2,
299,,2,11.668421745300293
399,14.615982055664062,3,
399,,3,11.643013000488281
499,12.434672355651855,4,
499,,4,11.468740463256836
599,12.674166679382324,5,
599,,5,11.304278373718262
699,11.996824264526367,6,
699,,6,11.289902687072754
799,12.0967378616333,7,
799,,7,11.294288635253906
899,11.885590553283691,8,
899,,8,11.305768966674805
999,11.893148422241211,9,
999,,9,11.309412002563477
1099,11.88432788848877,10,
1099,,10,11.284274101257324
1199,11.918457984924316,11,
1199,,11,11.360513687133789
1299,11.85584545135498,12,
1299,,12,11.292313575744629
1399,11.894927024841309,13,
1399,,13,11.298867225646973
1499,11.869155883789062,14,
1499,,14,11.337204933166504
1599,11.943024635314941,15,
1599,,15,11.346685409545898
1699,11.810709953308105,16,
1699,,16,11.349688529968262
1799,11.921723365783691,17,
1799,,17,11.339605331420898
1899,12.009416580200195,18,
1899,,18,11.292657852172852
1999,11.855280876159668,19,
1999,,19,11.27200698852539
2099,11.850610733032227,20,
2099,,20,11.295702934265137
2199,11.863083839416504,21,
2199,,21,11.305044174194336
